STNID,LATITUDE,LONGITUDE
690020-93218,36,-121.233
690140-93101,33.667,-117.733
690150-93121,34.294000000000004,-116.147
690170-99999,36.533,-115.56700000000001
690190-13910,32.433,-99.85000000000001
690230-24255,48.35,-122.667
690320-99999,48.983000000000004,-122.733
692704-99999,32.033,-81.667
696334-99999,32.417,-105.99300000000001
699604-03145,32.65,-114.617
700197-99999,66.617,-160
700260-27502,71.287,-156.739
700634-99999,70.31700000000001,-149.583
700635-99999,68.483,-149.483
700636-27405,70.25,-148.333
700637-27406,70.191,-148.48
700638-99999,54.85,-163.417
700865-99999,70.133,-143.583
701040-99999,68.883,-166.133
701043-99999,68.35000000000001,-166.8
701170-99999,65.56700000000001,-167.917
701195-99999,66.25,-166.083
701210-26638,69.81700000000001,-162.917
701213-26638,69.733,-163.017
701330-26616,66.886,-162.607
701620-26508,69.367,-152.133
701625-99999,68.133,-151.733
701718-99999,67.1,-157.85
701730-99999,66,-153.70000000000002
701740-26533,66.918,-151.519
701745-99999,67.5,-148.483
701748-99999,66.81700000000001,-150.65
701749-99999,67.4,-150.117
701780-26529,65.173,-152.107
701793-99999,65,-150.65
701795-99999,65.933,-149.833
701940-26413,66.56700000000001,-145.267
702000-26617,64.511,-165.44
702005-99999,62.050000000000004,-163.3
702035-99999,63.683,-170.483
702040-26703,63.767,-171.733
702070-26627,63.883,-160.8
702084-99999,62.783,-164.483
702120-26633,61.783,-166.03300000000002
702185-99999,60.367000000000004,-166.267
702186-99999,61.517,-166.133
702190-26615,60.785000000000004,-161.829
702220-99999,64.733,-156.933
702225-99999,65.7,-156.383
702310-26510,62.957,-155.61
702315-99999,62.883,-155.967
702320-26516,61.582,-159.543
702350-99999,61.1,-155.567
702460-26512,63.886,-152.302
702483-99999,62.533,-153.617
702490-99999,62.1,-152.75
702495-99999,61.980000000000004,-152.08
702510-26528,62.32,-150.097
702550-26514,61.977000000000004,-151.217
702590-26523,60.579,-151.242
702595-99999,60.467,-151.03300000000002
702600-26435,64.547,-149.087
702606-99999,62.883,-149.833
702607-99999,58.120000000000005,-135.417
702610-26411,64.803,-147.876
702615-99999,64.833,-147.617
702647-99999,63.870000000000005,-148.97
702648-99999,63.4,-148.95000000000002
702650-99999,64.65,-147.067
702670-26415,63.993,-145.721
702674-99999,65.833,-144.067
702675-99999,63.033,-145.5
702695-99999,61.717,-148.883
702696-99999,61.633,-149.03300000000002
702700-99999,61.267,-149.65
702710-26425,62.159,-145.459
702716-99999,61.817,-147.55
702717-99999,66.6,-159.986
702720-99999,61.25,-149.8
702725-99999,61.183,-149.967
702730-26451,61.169000000000004,-150.028
702735-26409,61.216,-149.857
702740-99999,61.595,-149.089
702745-99999,61.754,-150.052
702746-99999,61.417,-149.5
702750-26442,61.13,-146.352
702755-99999,61.433,-142.933
702756-99999,61.133,-146.25
702757-99999,60.767,-148.683
702770-99999,60.117000000000004,-149.45000000000002
702910-26412,62.961,-141.93800000000002
702913-99999,62.4,-143
702915-99999,62.7,-143.983
702960-26410,60.486000000000004,-145.445
702986-99999,60.817,-152.3
703050-99999,58.65,-162.067
703080-25713,57.155,-170.223
703160-25624,55.221000000000004,-162.732
703165-99999,55.333,-160.5
703210-99999,59.050000000000004,-158.517
703260-25503,58.683,-156.656
703263-99999,58.683,-156.683
703330-99999,56.95,-158.617
703334-99999,58.417,-157.367
703335-99999,58.7,-157
703400-25506,59.749,-154.909
703406-99999,60.2,-154.317
703407-99999,61.717,-157.15
703410-25507,59.642,-151.491
703430-25403,59.433,-146.333
703500-25501,57.751,-152.488
703606-99999,59.050000000000004,-160.383
703610-25339,59.512,-139.671
703620-25335,59.454,-135.328
703625-99999,59.233000000000004,-135.433
703670-25322,58.411,-135.709
703710-25333,57.047000000000004,-135.367
703810-25309,58.354,-134.556
703816-99999,58.25,-134.9
703817-99999,58.2,-136.35
703855-99999,56.95,-133.9
703860-25329,56.806000000000004,-132.937
703870-99999,56.484,-132.37
703884-99999,55.2,-132.833
703886-99999,56.247,-134.65
703950-25325,55.359,-131.722
703980-25308,55.039,-131.579
704140-99999,52.717,174.1
704540-25704,51.883,-176.65
704820-25626,52.95,-168.85
704890-99999,53.9,-166.55
711680-99999,43.733000000000004,-96.633
713407-99999,61.717,-157.15
722010-12836,24.557000000000002,-81.755
722015-12850,24.583000000000002,-81.683
722016-99999,24.733,-81.05
722020-12839,25.788,-80.31700000000001
722025-12849,26.072,-80.154
722026-12826,25.483,-80.383
722029-99999,25.650000000000002,-80.433
722030-12844,26.685000000000002,-80.099
722038-99999,26.153000000000002,-81.775
722040-12838,28.1,-80.636
722045-12843,27.653000000000002,-80.243
722046-99999,28.517,-80.8
722050-12815,28.418,-81.324
